+----------+---------------------------------------------------+---------------------------+-----------------+---------------------+-----------------------------------------------------------------------------+----------------------+----------+-------------+-------------------+---------------+
| plant_id |                  scientific_name                  |        common_name        |  plant_family   |     plant_type      |                                sunlight_list                                |        cycle         | watering | maintenance | pruning_frequency | toxic_to_pets |
|   861    |               Aphelandra squarrosa                |        zebra plant        |   Acanthaceae   | Broadleaf evergreen |                         ["part shade","full shade"]                         |      Perennial       | Average  |  Moderate   |                   |       0       |
|   1001   |                Asarina procumbens                 |    trailing snapdragon    | Plantaginaceae  |       Creeper       |                          ["full sun","part shade"]                          | Herbaceous Perennial | Average  |     Low     |                   |       0       |
|   1023   |               Asparagus densiflorus               | Sprenger's asparagus fern |  Asparagaceae   |        Fern         |                               ["part shade"]                                | Herbaceous Perennial | Average  |     Low     |                   |       0       |
|   1024   |          Asparagus densiflorus 'Myersii'          |      asparagus fern       |  Asparagaceae   |        Fern         |                               ["part shade"]                                | Herbaceous Perennial | Average  |     Low     |  1 time per year  |       0       |
|   1025   |         Asparagus densiflorus 'Sprengeri'         |      asparagus fern       |  Asparagaceae   |        Fern         |                               ["part shade"]                                | Herbaceous Perennial | Minimum  |     Low     |  2 time per year  |       0       |
|   1031   |                Asparagus setaceus                 |      asparagus fern       |  Asparagaceae   |        Vine         |                               ["part shade"]                                |      Perennial       | Frequent |     Low     |                   |       0       |
|   1036   |                Aspidistra elatior                 |      cast-iron plant      |  Asparagaceae   |        Shrub        |                         ["part shade","full shade"]                         | Herbaceous Perennial | Average  |     Low     |                   |       0       |
|   1038   |            Asplenium nidus 'Antiquum'             |     bird's nest fern      |  Aspleniaceae   |        Fern         |                   ["full sun","part shade","full shade"]                    |      Perennial       | Average  |             |  2 time per year  |       0       |
|   1130   |          Athyrium niponicum var. pictum           |   Japanese painted fern   |   Athyriaceae   |        Fern         |            ["deep shade","filtered shade","part sun/part shade"]            |      Perennial       | Average  |     Low     |  1 time per year  |       0       |
|   1133   |    Athyrium niponicum var. pictum 'Metallicum'    |   Japanese painted fern   |   Athyriaceae   |        Fern         |            ["deep shade","filtered shade","part sun/part shade"]            |      Perennial       | Average  |     Low     |  2 time per year  |       0       |
|   1147   |         Aucuba japonica 'Mr. Goldstrike'          |      spotted laurel       |   Garryaceae    | Broadleaf evergreen |                         ["full shade","part shade"]                         |      Perennial       | Frequent |     Low     |  1 time per year  |       0       |
|   1149   |          Aucuba japonica 'Suruga Benten'          |      spotted laurel       |   Garryaceae    | Broadleaf evergreen |                     ["part sun/part shade","full sun"]                      |      Perennial       | Average  |     Low     |  1 time per year  |       0       |
|   1150   |            Aucuba japonica 'Variegata'            |      spotted laurel       |   Garryaceae    | Broadleaf evergreen |                               ["part shade"]                                |      Perennial       | Average  |     Low     |  1 time per year  |       0       |
|   1192   |               Beaucarnea recurvata                |       ponytail palm       |  Asparagaceae   | Broadleaf evergreen |                           ["part sun/part shade"]                           |      Perennial       | Average  |     Low     |  1 time per year  |       0       |
|   1194   |                Begonia 'Art Hodes'                |          begonia          |   Begoniaceae   |       Begonia       |                          ["full sun","part shade"]                          | Herbaceous Perennial | Frequent |  Moderate   |                   |       0       |
|   1195   |          Begonia benariensis BIG SERIES           |          begonia          |   Begoniaceae   |       Begonia       |                          ["full sun","part shade"]                          | Herbaceous Perennial | Average  |     Low     |                   |       0       |
|   1196   |         Begonia 'Bepared' DRAGON WING RED         |          begonia          |   Begoniaceae   |       Begonia       |                          ["part shade","full sun"]                          | Herbaceous Perennial | Average  |     Low     |                   |       0       |
