+----------+---------------------------------------------------+---------------------------+-----------------+---------------------+-----------------------------------------------------------------------------+----------------------+----------+-------------+-------------------+---------------+
| plant_id |                  scientific_name                  |        common_name        |  plant_family   |     plant_type      |                                sunlight_list                                |        cycle         | watering | maintenance | pruning_frequency | toxic_to_pets |
|   2533   |                Dracaena sanderiana                |         dracaena          |  Asparagaceae   |        Shrub        |                           ["part sun/part shade"]                           | Herbaceous Perennial | Average  |     Low     |  2 time per year  |       0       |
|   2568   |                 Dypsis lutescens                  |        bamboo palm        |    Arecaceae    |    Palm or Cycad    |                    ["part sun/part shade","part shade"]                     |      Perennial       | Average  |     Low     |  1 time per year  |       0       |
|   2773   |                 Epipremnum aureum                 |       golden pothos       |     Araceae     |        Vine         |                           ["part sun/part shade"]                           |      Perennial       | Average  |     Low     |                   |       1       |
|   2774   |             Epipremnum aureum 'Neon'              |          pothos           |     Araceae     |        Vine         |                    ["part shade","part sun/part shade"]                     |      Perennial       | Average  |     Low     |                   |       1       |
|   2775   |                 Episcia cupreata                  |       flame violet        |  Gesneriaceae   |        Herb         |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |    High     |  2 time per year  |       0       |
|   2829   |                Eucharis amazonica                 |        Amazon lily        | Amaryllidaceae  |        Bulb         |                    ["part shade","part sun/part shade"]                     |      Perennial       | Average  |     Low     |                   |       0       |
|   2885   |                  Euphorbia milii                  |        christplant        |  Euphorbiaceae  | Broadleaf evergreen |                     ["full sun","part sun/part shade"]                      |      Perennial       | Average  |  Moderate   |                   |       0       |
|   2891   |               Euphorbia pulcherrima               |        poinsettia         |  Euphorbiaceae  |   Deciduous shrub   |                    ["part shade","part sun/part shade"]                     |      Perennial       | Average  |    High     |  1 time per year  |       0       |
|   2915   |                   Exacum affine                   |      Persian violet       |  Gentianaceae   |        Herb         |                    ["part shade","part sun/part shade"]                     |        Annual        | Average  |     Low     |  1 time per year  |       0       |
|   2954   |                  Ficus benjamina                  |        weeping fig        |    Moraceae     | Broadleaf evergreen |                           ["part sun/part shade"]                           |      Perennial       | Average  |     Low     |                   |       0       |
|   2955   |            Ficus benjamina 'Variegata'            |        weeping fig        |    Moraceae     | Broadleaf evergreen |                           ["part sun/part shade"]                           |      Perennial       | Average  |     Low     |                   |       0       |
|   2956   |            Ficus carica 'Brown Turkey'            |            fig            |    Moraceae     |        tree         |                                ["full sun"]                                 |      Perennial       | Average  |  Moderate   |  2 time per year  |       0       |
|   2957   |              Ficus carica 'Celeste'               |            fig            |    Moraceae     |        tree         |                                ["full sun"]                                 |      Perennial       | Average  |  Moderate   |                   |       0       |
|   2958   |           Ficus carica 'Chicago Hardy'            |            fig            |    Moraceae     |        tree         |                                ["full sun"]                                 |      Perennial       | Average  |  Moderate   |  1 time per year  |       0       |
|   2959   |      Ficus carica 'MAJOAM' LITTLE MISS FIGGY      |            fig            |    Moraceae     |        tree         |                                ["full sun"]                                 |      Perennial       | Average  |  Moderate   |                   |       0       |
|   2961   |                  Ficus elastica                   |    Indian rubberplant     |    Moraceae     | Broadleaf evergreen |                     ["full sun","part sun/part shade"]                      |      Perennial       | Average  |     Low     |  1 time per year  |       0       |
|   2962   |             Ficus elastica 'Burgundy'             |    India rubber plant     |    Moraceae     | Broadleaf evergreen |                    ["part shade","part sun/part shade"]                     |      Perennial       | Average  |     Low     |  3 time per year  |       0       |
|   2963   |                   Ficus lyrata                    |      fiddle-leaf fig      |    Moraceae     | Broadleaf evergreen |                           ["part sun/part shade"]                           |      Perennial       | Average  |     Low     |                   |       0       |
|   2965   |                   Ficus pumila                    |       climbing fig        |    Moraceae     |        Vine         |                           ["part sun/part shade"]                           |      Perennial       | Frequent |     Low     |  2 time per year  |       0       |
|   2976   |      Fittonia albivenis (Argyroneura Group)       |        Nerve Plant        |   Acanthaceae   |        Herb         |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |     Low     |                   |       0       |
+----------+---------------------------------------------------+---------------------------+-----------------+---------------------+-----------------------------------------------------------------------------+----------------------+----------+-------------+-------------------+---------------+
